"modctx","price"
"822c49ba-99d1-43c4-84e6-766885f5497c",34.26
"92364c35-ce66-4cb7-bd6c-0ab0b0c06962",34.01
"244563b0-e93d-4ba8-b786-e0b35c5a9b71",33.88
"43814a98-8189-405d-b4a4-076c813c56c0",31.27
"36b1070f-27c4-4bd3-ba4b-79452018c3ea",30.96
"7a3530d5-24d4-4a49-9f61-c7944e82ec7d",30.64
"677edf09-6e8b-4211-ac37-08a6fad4d222",30.29
"39407219-5b68-4be7-a86f-c4b142845cdf",29.15
"be3641b1-d5b8-48b6-8633-bacdf606af86",28.59
"d00b90a6-3e17-4a2b-b128-c9143e65eeff",27.8
"0724eb94-e522-47f8-8255-bbb9ae382e7a",27.68
"10302296-eb51-4635-8fd4-d8c51860b64b",27.46
"9564e6e5-efec-42a4-b9e5-ed7090bb40f8",26.82
"a4f7c642-2e30-470d-afca-6a6834fe921f",26.73
"4dbfc270-a0b8-4200-9ddf-e5fcb7b56d5c",25.62
"2e5226e0-1259-4304-9a0b-b24f1e6890fc",25.18
"4aaca496-7990-4d19-8668-7fa0c51e5858",24.75
"75a43247-7128-4d22-98a8-59eba65f29be",24.56
"677aaa8d-016e-4feb-bbda-c6ef99bc49f1",24.48
"c2d3636a-306d-476c-a73b-fe723c2c28e2",23.93
"d8cef62b-2a64-40ae-bd31-0d4f21f2968e",23.93
"89cd7314-4faf-4130-baab-ef62a8f4841e",23.92
"160010c5-e56d-4ad9-8e7e-6f62a3dc4d15",23.86
"cec54a26-75fb-432d-9b3e-6f78f3d44a41",23.8
"0dd0a47c-209b-417a-8725-5cdb0d0a7c25",23.71
"6aaaaec1-a267-4cc5-99c5-686e0a93fd3a",23.54
"3c43b96b-84bc-4c0e-a088-19891787b514",23.32
"245928b6-2f6b-4574-b934-f1dc4204e453",23.15
"e2acdc9a-2fa6-4078-9f9a-558eeadfa595",23.11
"dfb635f2-7fd6-489a-b8ec-37db70ddedfd",23.09
"e51372d5-11fc-49d3-8d8a-9bb951d9de90",23
"1f228e2f-52d9-4b63-88a0-8a54603556e7",22.92
"fadfa5a9-bcc1-4e90-bb1a-37d4fde43fd5",22.9
"f2570645-af43-44ac-afd9-038e5b1ad506",22.87
"c6f32bd4-38c0-4e1e-ad59-04d1861510fc",22.76
"b5fbfaa9-ee91-4899-bb26-3f94bb3966ad",22.63
"bc992fd2-5788-4476-8cf1-97572be20662",22.55
"bdf6879d-caab-45f3-ba3a-4f0e78b9b206",22.47
"ede63e32-bb09-4d49-b63b-f701c126064d",22.47
"65d48a62-6689-4b38-a738-836ae427ca1a",22.47
"af9b0186-cce1-489a-bb8d-0a92adbd480c",22.29
"cecce34b-e0d6-4130-a252-d58cce29cf43",22.04
"a97ba614-afcc-4c99-8d74-752c603579a0",22.04
"95bd5b18-2558-47d7-b252-3705f3d0142c",22.01
"71a9c709-48b8-4202-88c4-f12a57b357b6",21.52
"701d9de0-4865-4a70-a181-6e30d580a60a",21.24
"af43ff9c-e05b-4303-9558-da368b74a647",20.99
"e0dc4a93-7f06-40dc-9342-fb6206325c6e",20.41
"d7c83484-6400-4ef0-ac46-490e6fb5a089",20.41
"1c2287ed-9efe-4018-a001-84436142cfbe",20.32
"d019b159-7881-42e2-b0aa-5fb300114c25",20.32
"08cbd404-9a7d-4eb5-8294-71c893fe1694",20.28
"0ac74d82-51b1-4a05-97c4-11169d86b38e",20.22
"56af03ff-fffb-437c-9807-2a025e280f8c",20.19
"8c300e6d-f7a3-4f6d-ba4e-f5e583eae495",20.14
"7bf95e5c-85ee-463e-9cfa-f7d210c9b0f7",20.14
"793c39ad-d1b4-41b8-a74e-b0a8cfdbae35",20.14
"e58d9b8d-43c6-4356-9ae7-9fca78e57e4c",20.12
"46c15e6e-412e-4fd4-bd8b-5c7546f8fd7c",20.12
"9a953038-2c08-4b92-8873-9daf19e194be",20.04
"3ab503cd-48a9-44a9-9156-840511611288",20.04
"622127b6-c89b-4650-92b1-de9de87097ae",19.93
"db8a1ed3-cb49-4c6a-b1d9-7a4191477260",19.93
"6072738a-97c4-4d2e-ad88-967e383bcace",19.93
"231101f2-62d8-4ad0-84ee-13b5bd160afa",19.93
"4bddb739-90f7-435e-8c71-1f9d3ca15c42",19.92
"15a7bad7-0168-4b07-9445-a427714159bb",19.92
"dc6792cf-94ca-4372-86a3-839c5210abd2",19.92
"5b8f789f-8530-4f49-8fd6-eed73a6358fa",19.91
"636bec95-5ce9-44bf-aea0-6dea11c331f9",19.91
